nm;arb.u
371.21;0.0
371.67;0.0
372.12;0.0
372.58;0.0
373.03;0.0
373.49;0.0
373.94;0.0
374.40;0.0
374.85;0.0
375.31;0.0
375.76;0.0
376.22;0.0
376.67;0.0
377.12;0.0
377.58;0.0
378.03;0.0
378.48;0.0
378.94;0.0
379.39;0.0
379.84;0.0
380.30;0.0
380.75;0.0
381.20;0.0
381.65;0.0
382.11;0.0
382.56;0.0
383.01;0.0
383.46;0.0
383.91;0.0
384.36;0.0
384.82;0.0
385.27;0.0
385.72;0.0
386.17;0.0
386.62;0.0
387.07;0.0
387.52;0.0
387.97;0.0
388.42;0.0
388.87;0.0
389.32;0.0
389.77;0.0
390.22;0.0
390.67;0.0
391.12;0.0
391.57;0.0
392.02;0.0
392.47;0.0
392.92;0.0
393.37;0.0
393.82;0.0
394.27;0.0
394.72;0.0
395.17;0.0
395.61;0.0
396.06;0.0
396.51;0.0
396.96;0.0
397.41;0.0
397.85;0.0
398.30;0.0
398.75;0.0
399.20;0.0
399.64;0.0
400.09;0.0
400.54;0.0
400.98;0.0
401.43;0.0
401.88;0.0
402.32;0.0
402.77;0.0
403.22;0.0
403.66;0.0
404.11;0.0
404.55;0.0
405.00;0.0
405.45;0.0
405.89;0.0
406.34;0.0
406.78;0.0
407.23;0.0
407.67;0.0
408.12;0.0
408.56;0.0
409.01;0.0
409.45;0.0
409.89;0.0
410.34;0.0
410.78;0.0
411.23;0.0
411.67;0.0
412.11;0.0
412.56;0.0
413.00;0.0
413.44;0.0
413.89;0.0
414.33;0.0
414.77;0.0
415.21;0.0
415.66;0.0
416.10;0.0
416.54;0.0
416.98;0.0
417.43;0.0
417.87;0.0
418.31;0.0
418.75;0.0
419.19;0.0
419.63;0.0
420.07;0.0
420.52;0.0
420.96;0.0
421.40;0.0
421.84;0.0
422.28;0.0
422.72;0.0
423.16;0.0
423.60;0.0
424.04;0.0
424.48;0.0
424.92;0.0
425.36;0.0
425.80;0.0
426.24;0.0
426.68;0.0
427.12;0.0
427.56;0.0
427.99;0.0
428.43;0.0
428.87;0.0
429.31;0.0
429.75;0.0
430.19;0.0
430.63;0.0
431.06;0.0
431.50;0.0
431.94;0.0
432.38;0.0
432.81;0.0
433.25;0.0
433.69;0.0
434.13;0.0
434.56;0.0
435.00;0.0
435.44;0.0
435.87;0.0
436.31;0.0
436.74;0.0
437.18;0.0
437.62;0.0
438.05;0.0
438.49;0.0
438.92;0.0
439.36;0.0
439.80;0.0
440.23;0.0
440.67;0.0
441.10;0.0
441.54;0.0
441.97;0.0
442.40;0.0
442.84;0.0
443.27;0.0
443.71;0.0
444.14;0.0
444.58;0.0
445.01;0.0
445.44;0.0
445.88;0.0
446.31;0.0
446.74;0.0
447.18;0.0
447.61;0.0
448.04;0.0
448.47;0.0
448.91;0.0
449.34;0.0
449.77;0.0
450.20;0.0
450.64;0.0
451.07;0.0
451.50;0.0
451.93;0.0
452.36;0.0
452.80;0.0
453.23;0.0
453.66;0.0
454.09;0.0
454.52;0.0
454.95;0.0
455.38;0.0
455.81;0.0
456.24;0.0
456.67;0.0
457.10;0.0
457.53;0.0
457.96;0.0
458.39;0.0
458.82;0.0
459.25;0.0
459.68;0.0
460.11;0.0
460.54;0.0
460.97;0.0
461.40;0.0
461.83;0.0
462.25;0.0
462.68;0.0
463.11;0.0
463.54;0.0
463.97;0.0
464.40;0.0
464.82;0.0
465.25;0.0
465.68;0.0
466.11;0.0
466.53;0.0
466.96;0.0
467.39;0.0
467.81;0.0
468.24;0.0
468.67;0.0
469.09;0.0
469.52;0.0
469.95;0.0
470.37;0.0
470.80;0.0
471.22;0.0
471.65;0.0
472.08;0.0
472.50;0.0
472.93;0.0
473.35;0.0
473.78;0.0
474.20;0.0
474.63;0.0
475.05;0.0
475.48;0.0
475.90;0.0
476.32;0.0
476.75;0.0
477.17;0.0
477.60;0.0
478.02;0.0
478.44;0.0
478.87;0.0
479.29;0.0
479.71;0.0
480.14;0.0
480.56;0.0
480.98;0.0
481.41;0.0
481.83;0.0
482.25;0.0
482.67;0.0
483.10;0.0
483.52;0.0
483.94;0.0
484.36;0.0
484.78;0.0
485.20;0.0
485.63;0.0
486.05;0.0
486.47;0.0
486.89;0.0
487.31;0.0
487.73;0.0
488.15;0.0
488.57;0.0
488.99;0.0
489.41;0.0
489.83;0.0
490.25;0.0
490.67;0.0
491.09;0.0
491.51;0.0
491.93;0.0
492.35;0.0
492.77;0.0
493.19;0.0
493.61;0.0
494.03;0.0
494.45;0.0
494.86;0.0
495.28;0.0
495.70;0.0
496.12;0.0
496.54;0.0
496.95;0.0
497.37;0.0
497.79;0.0
498.21;0.0
498.63;0.0
499.04;0.0
499.46;0.0
499.88;0.0
500.29;0.0
500.71;0.0
501.13;0.0
501.54;0.0
501.96;0.0
502.38;0.0
502.79;0.0
503.21;0.0
503.62;0.0
504.04;0.0
504.45;0.0
504.87;0.0
505.29;1.0
505.70;1.0
506.12;1.0
506.53;1.0
506.95;1.0
507.36;1.0
507.77;1.0
508.19;1.0
508.60;2.0
509.02;2.0
509.43;2.0
509.85;2.0
510.26;2.0
510.67;2.0
511.09;2.0
511.50;2.0
511.91;2.0
512.33;2.0
512.74;2.0
513.15;2.0
513.56;2.0
513.98;3.0
514.39;3.0
514.80;3.0
515.21;3.0
515.63;3.0
516.04;4.0
516.45;4.0
516.86;4.0
517.27;4.0
517.68;4.0
518.09;4.0
518.51;5.0
518.92;5.0
519.33;5.0
519.74;5.0
520.15;5.0
520.56;5.0
520.97;5.0
521.38;5.0
521.79;5.0
522.20;6.0
522.61;6.0
523.02;7.0
523.43;7.0
523.84;8.0
524.25;8.0
524.66;10.0
525.07;10.0
525.48;11.0
525.88;13.0
526.29;14.0
526.70;17.0
527.11;13.0
527.52;28.0
527.93;101.0
528.33;158.0
528.74;175.0
529.15;188.0
529.56;200.0
529.96;205.0
530.37;197.0
530.78;184.0
531.19;164.0
531.59;136.0
532.00;112.0
532.41;88.0
532.81;58.0
533.22;36.0
533.63;26.0
534.03;22.0
534.44;20.0
534.84;17.0
535.25;16.0
535.66;15.0
536.06;14.0
536.47;14.0
536.87;13.0
537.28;11.0
537.68;11.0
538.09;11.0
538.49;11.0
538.90;11.0
539.30;11.0
539.70;11.0
540.11;11.0
540.51;10.0
540.92;11.0
541.32;11.0
541.72;11.0
542.13;11.0
542.53;11.0
542.93;11.0
543.34;11.0
543.74;11.0
544.14;11.0
544.55;11.0
544.95;11.0
545.35;11.0
545.75;11.0
546.16;11.0
546.56;11.0
546.96;11.0
547.36;11.0
547.76;11.0
548.17;11.0
548.57;11.0
548.97;11.0
